run_id,label,completed_epochs,average_mAP_percent,mAP07_percent,weights,seed
tr-0afe8e4fc09b,A dynamic,5,5.162266117501877,0.44257811748915743,ema,0
tr-0afe8e4fc09b,A dynamic,10,32.5425591412989,8.20415243593858,ema,0
tr-0afe8e4fc09b,A dynamic,15,40.73750690516883,13.50058264419902,ema,0
tr-0afe8e4fc09b,A dynamic,20,52.069117929864504,24.89291904794399,ema,0
tr-0afe8e4fc09b,A dynamic,25,60.846022961742165,36.35298850610581,ema,0
tr-0afe8e4fc09b,A dynamic,30,65.19225943541109,41.13643998023099,ema,0
tr-0afe8e4fc09b,A dynamic,35,67.13260436250896,44.27212103870708,ema,0
tr-0afe8e4fc09b,A dynamic,40,68.01960141011378,45.94594932622046,ema,0
tr-0afe8e4fc09b,A dynamic,45,65.20567947550137,42.93298543347139,ema,0
tr-0afe8e4fc09b,A dynamic,50,63.826441999469786,41.458434745284734,ema,0
tr-0afe8e4fc09b,A dynamic,55,63.38240109729622,42.011651255528086,ema,0
tr-0afe8e4fc09b,A dynamic,60,63.7005816940407,42.48059314884345,ema,0
tr-624db235c913,A fixed q=.5,5,4.095425247086192,0.33869970170957453,ema,0
tr-624db235c913,A fixed q=.5,10,30.55742552008568,8.062778736923661,ema,0
tr-624db235c913,A fixed q=.5,15,38.09476991506788,12.456755438723818,ema,0
tr-624db235c913,A fixed q=.5,20,49.59088848128923,25.439761584124366,ema,0
tr-624db235c913,A fixed q=.5,25,56.211349065753915,33.79120904287552,ema,0
tr-624db235c913,A fixed q=.5,30,58.35417835350768,37.034018277254546,ema,0
tr-624db235c913,A fixed q=.5,35,59.781043688545196,38.651759586798136,ema,0
tr-624db235c913,A fixed q=.5,40,59.97234436054926,39.03957762485178,ema,0
tr-624db235c913,A fixed q=.5,45,60.59072947816778,39.01436700349308,ema,0
tr-624db235c913,A fixed q=.5,50,61.28059955681214,39.89491511247516,ema,0
tr-1d7d835dcbe2,B dynamic,5,0.7920704964777895,0.0474323111812112,ema,0
tr-1d7d835dcbe2,B dynamic,10,15.207401372060078,2.397397517708905,ema,0
tr-1d7d835dcbe2,B dynamic,15,25.38745289023433,5.758059861343693,ema,0
tr-1d7d835dcbe2,B dynamic,20,30.276836333929545,8.120398341365211,ema,0
tr-712c0b6470f4,B fixed q=.5,5,1.7661255755923249,0.11518578183845045,ema,0
tr-712c0b6470f4,B fixed q=.5,10,20.233930157290352,4.029665549982991,ema,0
tr-712c0b6470f4,B fixed q=.5,15,24.23223669416807,5.782276196753008,ema,0
tr-5789d4417b4b,C dynamic,5,6.422497555516074,0.6412105809732377,ema,0
tr-5789d4417b4b,C dynamic,10,31.508163572311588,7.15137680978076,ema,0
tr-5789d4417b4b,C dynamic,15,41.973781114225474,14.955476021977637,ema,0
tr-5789d4417b4b,C dynamic,20,53.445173863738646,29.484622524498803,ema,0
tr-7e78e2a74eee,C fixed q=.5,5,4.913321417936463,0.4290066637728139,ema,0
tr-7e78e2a74eee,C fixed q=.5,10,30.77983744231574,8.975872889455891,ema,0
tr-7e78e2a74eee,C fixed q=.5,15,40.34985971934887,14.511685735746715,ema,0
official_train,Official AdaTAD training,42,69.8764502808962,47.47253407791735,ema,0
official_train,Official AdaTAD training,44,70.09930137655537,47.67548172380693,ema,0
official_train,Official AdaTAD training,46,70.09611912308674,47.59386146015599,ema,0
official_train,Official AdaTAD training,48,70.1566140628343,47.55351180213891,ema,0
official_train,Official AdaTAD training,50,70.14832551805807,47.651077473326566,ema,0
official_train,Official AdaTAD training,52,70.18058201276352,47.71910362294079,ema,0
official_train,Official AdaTAD training,54,70.13815684350281,47.79415971774556,ema,0
official_train,Official AdaTAD training,56,69.98282151361049,47.89909195270562,ema,0
official_train,Official AdaTAD training,58,69.90693315766762,47.95156853751279,ema,0
official_train,Official AdaTAD training,60,69.88794076569948,47.825763136418225,ema,0
